epoch,train_size,neurons_count,accuracy,error,duration_ms
25,100,50,0.97535,0.3806869933479669,155
25,40090,50,0.9882,0.03243821988526282,153
25,80080,50,0.9882,0.026183084473871177,160
25,120070,50,0.9882,0.025975471431743103,103
25,160060,50,0.9882,0.025035795688145665,108
25,200050,50,0.9882,0.02557698366015735,99
25,240040,50,0.9882,0.032289614043987856,107
25,280030,50,0.9882,0.024046569332398716,106
25,320020,50,0.9882,0.020504185587149313,106
25,360010,50,0.9882,0.026086922926565323,103
0,400000,50,0.07245,0.6710966565741444,104
10,400000,50,0.9882,0.029991472651417706,106
20,400000,50,0.9882,0.024081314388376275,106
30,400000,50,0.9882,0.025502604337938384,105
40,400000,50,0.9882,0.024081314388376275,105
50,400000,50,0.9882,0.02429236135006283,106
60,400000,50,0.9882,0.025502604337938384,108
70,400000,50,0.9882,0.023297418929261803,119
80,400000,50,0.9882,0.023193365949848957,113
90,400000,50,0.9882,0.0232318633705345,117
100,400000,50,0.9882,0.024136418911989265,116
25,400000,1,0.9029,0.17375221756488732,10
25,400000,11,0.97535,0.04772752409777016,32
25,400000,21,0.9882,0.024640685582161117,58
25,400000,31,0.97955,0.03981769881610381,68
25,400000,41,0.9882,0.02347503161382042,90
25,400000,51,0.9882,0.023753625666976596,111
25,400000,61,0.9882,0.023788331078599827,127
25,400000,71,0.9882,0.023520341989667917,150
25,400000,81,0.9882,0.02347772822878413,181
25,400000,91,0.9924,0.015669118802926697,188
25,400000,101,0.9924,0.018908944143951858,202
